,City,latitude,longitude,Tipo,Bedrooms,Bathrooms,Surface,Zone,Zone_Val,Price_USD,Price_m2_USD
311,Ciudad de Guatemala,14.653,-90.506,42020,2,1,50.0,Zona 2,2,76470.59,1529.41
312,Ciudad de Guatemala,14.598,-90.507,42020,2,4,140.0,Zona 10,10,195000.0,1392.86
313,Ciudad de Guatemala,14.618,-90.514,42020,1,1,38.0,Zona 4,4,90750.0,2388.16
315,Ciudad de Guatemala,14.595,-90.504,42021,4,4,315.0,Zona 10,10,350000.0,1111.11
316,Ciudad de Guatemala,14.61,-90.483,42021,3,2,254.0,Zona 16,16,220000.0,866.14
317,Ciudad de Guatemala,14.635,-90.541,42021,4,2,247.0,Zona 7,7,68627.45,277.84
318,Mixco,14.657,-90.556,42021,3,2,205.0,Zona 4 de Mixco,4,163398.69,797.07
319,Ciudad de Guatemala,14.598,-90.507,42020,3,5,351.0,Zona 10,10,825000.0,2350.43
320,Ciudad de Guatemala,14.593,-90.512,42020,3,2,110.0,Zona 10,10,250000.0,2272.73
321,Ciudad de Guatemala,14.611,-90.488,42021,4,5,423.0,Zona 16,16,1300000.0,3073.29
322,Ciudad de Guatemala,14.604,-90.532,42021,10,6,280.0,Zona 9,9,4500.0,16.07
323,Ciudad de Guatemala,14.595,-90.495,42021,4,5,400.0,Zona 15,15,770000.0,1925.0
324,Ciudad de Guatemala,14.607,-90.52,42021,7,4,450.0,Zona 9,9,450000.0,1000.0
325,Ciudad de Guatemala,14.635,-90.541,42021,3,2,180.0,Zona 7,7,143790.85,798.84
326,Ciudad de Guatemala,14.63,-90.515,42021,4,4,250.0,Zona 1,1,260000.0,1040.0
327,Ciudad de Guatemala,14.627,-90.511,42021,3,3,200.0,Zona 4,4,419000.0,2095.0
328,Ciudad de Guatemala,14.627,-90.476,42021,4,3,250.0,Zona 16,16,240000.0,960.0
329,Ciudad de Guatemala,14.594,-90.492,42020,2,2,83.0,Zona 15,15,99346.41,1196.94
330,Ciudad de Guatemala,14.626,-90.496,42020,3,2,110.0,Zona 5,5,140000.0,1272.73
331,Ciudad de Guatemala,14.618,-90.552,42021,3,1,95.0,Zona 11,11,153594.77,1616.79
332,Ciudad de Guatemala,14.628,-90.494,42021,7,3,240.48,Zona 5,5,220915.03,918.64
333,Ciudad de Guatemala,14.639,-90.51,42021,3,2,200.0,Zona 1,1,128836.6,644.18
334,Ciudad de Guatemala,14.595,-90.504,42020,3,2,170.0,Zona 10,10,370000.0,2176.47
335,Ciudad de Guatemala,14.603,-90.51,42020,3,4,300.0,Zona 10,10,850000.0,2833.33
336,Ciudad de Guatemala,14.636,-90.51,42020,0,1,36.0,Zona 1,1,78431.37,2178.65
337,Ciudad de Guatemala,14.636,-90.51,42020,1,1,31.0,Zona 1,1,73000.0,2354.84
338,Ciudad de Guatemala,14.595,-90.521,42021,4,4,430.0,Zona 9,9,370000.0,860.47
339,Ciudad de Guatemala,14.595,-90.521,42021,3,3,350.0,Zona 9,9,335000.0,957.14
340,Ciudad de Guatemala,14.633,-90.494,42021,7,4,170.0,Zona 5,5,183006.54,1076.51
341,Ciudad de Guatemala,14.595,-90.495,42020,1,2,82.0,Zona 15,15,110000.0,1341.46
342,Ciudad de Guatemala,14.668,-90.508,42020,3,1,62.0,Zona 2,2,121742.61,1963.59
343,Ciudad de Guatemala,14.668,-90.508,42020,2,2,52.0,Zona 2,2,91847.06,1766.29
344,Ciudad de Guatemala,14.659,-90.509,42021,4,1,350.0,Zona 2,2,390000.0,1114.29
345,Ciudad de Guatemala,14.595,-90.521,42021,3,2,385.0,Zona 9,9,250000.0,649.35
346,Ciudad de Guatemala,14.601,-90.494,42021,6,6,640.0,Zona 15,15,650000.0,1015.62
347,Ciudad de Guatemala,14.595,-90.504,42020,2,3,260.0,Zona 10,10,325000.0,1250.0
348,Mixco,14.657,-90.556,42021,5,3,180.0,Zona 4 de Mixco,4,128104.58,711.69
349,Ciudad de Guatemala,14.606,-90.547,42021,7,5,300.0,Zona 11,11,350000.0,1166.67
350,Ciudad de Guatemala,14.592,-90.506,42021,3,3,455.0,Zona 10,10,475000.0,1043.96
351,Ciudad de Guatemala,14.595,-90.504,42020,2,2,121.0,Zona 10,10,220000.0,1818.18
352,Ciudad de Guatemala,14.592,-90.508,42020,2,2,120.0,Zona 10,10,199000.0,1658.33
353,Ciudad de Guatemala,14.595,-90.504,42020,2,3,140.0,Zona 10,10,250000.0,1785.71
354,Ciudad de Guatemala,14.595,-90.504,42020,2,3,140.0,Zona 10,10,235000.0,1678.57
355,Ciudad de Guatemala,14.595,-90.504,42020,2,3,140.0,Zona 10,10,235000.0,1678.57
356,Ciudad de Guatemala,14.606,-90.483,42020,1,1,57.0,Zona 16,16,157000.0,2754.39
357,Ciudad de Guatemala,14.626,-90.553,42021,5,4,200.0,Zona 7,7,176470.59,882.35
358,Ciudad de Guatemala,14.639,-90.51,42021,4,2,180.0,Zona 1,1,115686.27,642.7
359,Ciudad de Guatemala,14.595,-90.495,42020,3,3,245.0,Zona 15,15,295000.0,1204.08
360,Ciudad de Guatemala,14.643,-90.466,42021,3,2,176.0,Zona 17,17,159477.12,906.12
361,Ciudad de Guatemala,14.624,-90.499,42020,3,2,66.0,Zona 5,5,103529.41,1568.63
362,Ciudad de Guatemala,14.641,-90.501,42020,3,2,70.0,Zona 1,1,88235.29,1260.5
364,Ciudad de Guatemala,14.595,-90.495,42020,3,2,150.0,Zona 15,15,210000.0,1400.0
365,Ciudad de Guatemala,14.595,-90.504,42020,3,3,200.0,Zona 10,10,240000.0,1200.0
367,Ciudad de Guatemala,14.635,-90.541,42021,4,2,170.0,Zona 7,7,235294.12,1384.08
368,Ciudad de Guatemala,14.639,-90.51,42021,5,3,500.0,Zona 1,1,202614.38,405.23
370,Ciudad de Guatemala,14.595,-90.506,42020,2,2,189.0,Zona 10,10,265000.0,1402.12
371,Ciudad de Guatemala,14.61,-90.483,42021,4,5,693.0,Zona 16,16,1275000.0,1839.83
372,Ciudad de Guatemala,14.61,-90.483,42020,3,4,407.0,Zona 16,16,668000.0,1641.28
373,Ciudad de Guatemala,14.595,-90.495,42020,3,3,140.0,Zona 15,15,295000.0,2107.14
374,Ciudad de Guatemala,14.625,-90.499,42020,3,2,82.0,Zona 5,5,142091.5,1732.82
375,Ciudad de Guatemala,14.595,-90.521,42020,2,1,132.0,Zona 9,9,125000.0,946.97
