revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
5,175000,Zona 16,3/23/20,3/23/20,0.00,3.00,3.00,125.00,14.607,-90.469
9,610000,Zona 10,9/26/19,2/17/20,144.00,5.00,5.00,580.00,14.597,-90.513
6,39610,Zona 21,5/16/20,5/16/20,0.00,3.00,1.00,55.00,14.547,-90.589
16,295000,Zona 14,2/5/20,5/16/20,101.00,4.00,4.00,247.00,14.58,-90.513
10,675000,Zona 13,2/8/20,5/16/20,98.00,5.00,4.00,500.00,14.567,-90.526
5,140000,Zona 14,5/16/20,5/16/20,0.00,4.00,3.00,246.00,14.584,-90.513
41,269000,Zona 7 de Mixco,5/16/20,6/3/20,18.00,4.00,3.00,342.00,14.635,-90.598
6,113636,Zona 8 de Mixco,5/15/20,5/21/20,6.00,3.00,3.00,201.00,14.584,-90.584
6,330000,Zona 10,5/15/20,5/15/20,0.00,3.00,3.00,254.69,14.588,-90.502
10,263869,Zona 10 de Mixco,7/9/19,5/18/20,314.00,3.00,3.00,211.00,14.623,-90.563
7,1300000,Zona 16,3/5/20,3/10/20,5.00,4.00,5.00,4000.00,14.606,-90.472
5,330000,Zona 10,6/1/20,6/1/20,0.00,4.00,5.00,265.00,14.595,-90.504
15,230000,Zona 10,12/23/19,3/28/20,96.00,3.00,3.00,153.00,14.595,-90.504
8,280000,Zona 15,5/14/20,5/14/20,0.00,4.00,3.00,235.00,14.599,-90.493
5,235000,Zona 15,5/14/20,5/14/20,0.00,3.00,2.00,130.00,14.595,-90.495
4,145000,Zona 10,5/14/20,5/14/20,0.00,0.00,1.00,65.00,14.593,-90.508
9,135256,Zona 16,9/23/19,5/14/20,234.00,3.00,2.00,96.00,14.607,-90.47
4,113636,Zona 4 de Mixco,5/14/20,5/14/20,0.00,4.00,2.00,180.00,14.662,-90.559
9,275000,Zona 10,2/25/20,6/1/20,97.00,3.00,4.00,235.00,14.595,-90.504
36,400000,Zona 16,10/23/19,4/23/20,183.00,4.00,6.00,370.00,14.606,-90.472
27,1150000,Zona 16,11/4/19,5/19/20,197.00,4.00,5.00,1000.00,14.607,-90.469
285,96799,Zona 10,1/16/20,6/3/20,139.00,1.00,2.00,71.00,14.594,-90.503
5,390000,Zona 16,6/1/20,6/1/20,0.00,4.00,3.00,314.00,14.607,-90.469
5,560000,Zona 16,3/4/20,3/4/20,0.00,4.00,4.00,420.00,14.606,-90.472
8,1100000,Zona 10,8/30/19,2/17/20,171.00,4.00,5.00,564.00,14.595,-90.51
89,133455,Zona 15,4/23/20,6/3/20,41.00,2.00,3.00,91.00,14.597,-90.493
6,162338,Zona 16,5/13/20,5/14/20,1.00,3.00,2.00,216.00,14.606,-90.472
16,144000,Zona 16,3/20/20,4/15/20,26.00,3.00,2.00,95.00,14.607,-90.469
5,700000,Zona 10,6/1/20,6/1/20,0.00,4.00,4.00,542.00,14.595,-90.504
9,250000,Zona 14,2/12/20,5/13/20,91.00,3.00,3.00,276.00,14.564,-90.479
9,480000,Zona 14,10/22/19,5/13/20,204.00,4.00,4.00,486.00,14.564,-90.48
9,245000,Zona 11,10/25/19,5/13/20,201.00,3.00,3.00,207.00,14.604,-90.554
9,157000,Zona 16,8/28/19,5/13/20,259.00,2.00,2.00,95.00,14.619,-90.476
9,305000,Zona 14,8/28/19,5/13/20,259.00,3.00,4.00,270.00,14.576,-90.518
37,168831,Zona 15,5/13/20,5/13/20,0.00,3.00,2.00,120.00,14.605,-90.5
5,350000,Zona 10,5/5/20,5/5/20,0.00,4.00,4.00,315.00,14.595,-90.504
7,710000,Zona 14,5/13/20,5/14/20,1.00,3.00,3.00,310.00,14.578,-90.519
7,487028,Zona 14,5/13/20,5/14/20,1.00,3.00,4.00,201.00,14.579,-90.518
7,195000,Zona 14,5/13/20,5/14/20,1.00,1.00,2.00,86.00,14.584,-90.516
9,272239,Zona 15,5/13/20,5/23/20,10.00,3.00,4.00,124.00,14.59,-90.491
10,225000,Zona 16,1/7/20,5/4/20,118.00,3.00,3.00,230.00,14.606,-90.472
7,4105000,Zona 10,5/24/20,5/24/20,0.00,0.00,4.00,2607.00,14.595,-90.504
5,168182,Zona 15,5/12/20,5/12/20,0.00,3.00,2.00,226.00,14.575,-90.48
5,116234,Zona 15,5/12/20,5/12/20,0.00,3.00,2.00,122.00,14.575,-90.48
5,260000,Zona 14,5/12/20,5/12/20,0.00,3.00,3.00,227.00,14.589,-90.518
5,82000,Zona 15,5/12/20,5/12/20,0.00,2.00,1.00,75.00,14.575,-90.48
5,145000,Zona 13,5/12/20,5/12/20,0.00,3.00,2.00,70.00,14.58,-90.53
5,162500,Zona 16,5/12/20,5/12/20,0.00,3.00,3.00,181.50,14.562,-90.466
210,166234,Zona 15,2/20/20,6/3/20,104.00,2.00,2.00,195.00,14.597,-90.493
13,315000,Zona 14,2/5/20,5/11/20,96.00,4.00,3.00,300.00,14.579,-90.519
5,655000,Zona 14,5/11/20,5/11/20,0.00,6.00,5.00,536.00,14.572,-90.498
5,113000,Zona 16,5/11/20,5/11/20,0.00,3.00,2.00,201.00,14.553,-90.459
5,550000,Zona 14,5/11/20,5/11/20,0.00,3.00,2.00,445.00,14.572,-90.498
5,230519,Zona 16,5/11/20,5/11/20,0.00,4.00,5.00,266.00,14.553,-90.459
4,66883,Zona 8 de Mixco,5/11/20,5/11/20,0.00,3.00,2.00,110.00,14.596,-90.589
5,400000,Zona 14,5/11/20,5/11/20,0.00,4.00,3.00,560.00,14.572,-90.498
5,600000,Zona 14,5/11/20,5/11/20,0.00,4.00,3.00,420.00,14.572,-90.498
7,388500,Zona 10,4/1/20,4/2/20,1.00,3.00,4.00,170.00,14.598,-90.507
10,225000,Zona 16,12/17/19,5/5/20,140.00,3.00,3.00,243.00,14.606,-90.472
9,220000,Zona 15,3/17/20,4/25/20,39.00,4.00,3.00,200.00,14.595,-90.495
9,230000,Zona 10,12/24/19,4/12/20,110.00,2.00,3.00,185.00,14.595,-90.504
5,1500000,Zona 11,5/8/20,5/8/20,0.00,4.00,6.00,600.00,14.619,-90.562
10,230000,Zona 8 de Mixco,5/8/20,5/21/20,13.00,3.00,3.00,224.24,14.606,-90.586
5,33766,,5/8/20,5/8/20,0.00,10.00,3.00,200.00,14.776,-90.453
6,230519,Zona 14,5/8/20,5/8/20,0.00,4.00,5.00,266.00,14.572,-90.498
5,258442,Zona 14,5/8/20,5/8/20,0.00,4.00,4.00,270.00,14.572,-90.498
13,92208,Zona 8 de Mixco,1/15/20,5/8/20,114.00,3.00,3.00,141.00,14.56,-90.595
10,103896,Zona 21,2/3/20,5/8/20,95.00,4.00,5.00,155.00,14.527,-90.535
7,135000,Zona 8 de Mixco,5/8/20,5/11/20,3.00,4.00,2.00,365.00,14.601,-90.593
7,225000,Zona 10,5/4/20,5/9/20,5.00,3.00,2.00,119.00,14.595,-90.504
8,1350000,Zona 15,5/3/20,5/21/20,18.00,3.00,4.00,600.00,14.599,-90.493
9,195000,Zona 14,2/5/20,5/7/20,92.00,1.00,2.00,110.00,14.578,-90.52
11,250000,Zona 14,2/5/20,5/7/20,92.00,2.00,3.00,140.00,14.578,-90.52
4,11039,Zona 2 de Mixco,5/7/20,5/7/20,0.00,2.00,2.00,63.64,14.633,-90.58
10,295000,Zona 13,2/3/20,5/7/20,94.00,4.00,3.00,214.00,14.574,-90.522
10,295000,Zona 15,2/6/20,5/7/20,91.00,4.00,4.00,270.00,14.586,-90.491
10,315000,Zona 14,2/6/20,5/7/20,91.00,5.00,4.00,325.00,14.578,-90.519
59,291491,Zona 16,5/7/20,6/3/20,27.00,3.00,2.00,143.00,14.614,-90.482
59,398000,Zona 5,5/7/20,6/3/20,27.00,3.00,4.00,281.00,14.615,-90.495
29,165000,Zona 16,5/25/20,5/28/20,3.00,3.00,5.00,250.00,14.606,-90.472
9,1200000,Zona 16,1/28/20,5/6/20,99.00,4.00,5.00,693.00,14.606,-90.472
7,142857,Zona 8 de Mixco,5/6/20,5/6/20,0.00,3.00,3.00,208.00,14.601,-90.593
245,302910,Zona 14,2/5/20,6/3/20,119.00,3.00,3.00,146.00,14.577,-90.52
241,162338,Zona 16,2/5/20,6/3/20,119.00,3.00,2.00,121.00,14.593,-90.456
7,200000,Zona 10,2/24/20,5/11/20,77.00,2.00,3.00,136.00,14.588,-90.502
19,162500,Zona 10,4/8/20,5/11/20,33.00,2.00,2.00,75.00,14.592,-90.508
24,410000,Zona 15,2/3/20,5/5/20,92.00,4.00,4.00,420.00,14.582,-90.482
5,259740,Zona 8 de Mixco,5/5/20,5/5/20,0.00,4.00,3.00,541.87,14.596,-90.589
5,58442,Zona 8 de Mixco,5/5/20,5/5/20,0.00,4.00,3.00,300.00,14.596,-90.589
9,495000,Zona 11,5/5/20,5/20/20,15.00,4.00,4.00,436.00,14.604,-90.559
15,495000,Zona 11,5/5/20,5/20/20,15.00,4.00,4.00,436.00,14.604,-90.559
7,300000,Zona 16,8/29/19,5/5/20,250.00,4.00,6.00,414.00,14.579,-90.471
10,40260,Zona 13,5/5/20,6/3/20,29.00,3.00,1.00,56.00,14.557,-90.517
5,485000,Zona 7 de Mixco,5/5/20,5/5/20,0.00,5.00,3.00,326.00,14.644,-90.598
5,227000,Zona 16,3/4/20,3/4/20,0.00,3.00,5.00,273.00,14.607,-90.458
9,385000,Zona 10,2/17/20,5/24/20,97.00,3.00,2.00,246.00,14.588,-90.502
13,137662,Zona 11,5/29/20,5/31/20,2.00,3.00,2.00,78.00,14.604,-90.559
7,225000,Zona 11,5/3/20,5/27/20,24.00,3.00,2.00,325.00,14.604,-90.559
6,175000,Zona 10,4/30/20,4/30/20,0.00,2.00,2.00,118.00,14.591,-90.505
15,240000,Zona 15,9/6/19,4/9/20,216.00,3.00,3.00,248.00,14.593,-90.494
7,250000,Zona 8 de Mixco,7/10/19,5/4/20,299.00,4.00,3.00,300.00,14.602,-90.589
8,533000,Zona 16,10/14/19,5/4/20,203.00,4.00,2.00,25.00,14.607,-90.47
9,428571,Zona 7 de Mixco,10/14/19,5/4/20,203.00,4.00,2.00,1502.00,14.633,-90.599
10,335679,Zona 10,10/11/19,5/4/20,206.00,3.00,2.00,161.00,14.588,-90.502
5,35714,Zona 18,5/4/20,5/4/20,0.00,3.00,1.00,54.00,14.667,-90.43
7,447000,Zona 8 de Mixco,7/17/19,5/4/20,292.00,4.00,2.00,300.00,14.602,-90.589
5,195000,Zona 11,4/27/20,4/27/20,0.00,3.00,2.00,224.46,14.604,-90.559
7,365000,Zona 15,5/13/20,5/14/20,1.00,2.00,3.00,133.00,14.59,-90.491
7,103896,Zona 3 de Mixco,3/27/20,3/27/20,0.00,3.00,1.00,125.00,14.633,-90.576
34,113636,Zona 16,1/11/20,6/2/20,143.00,4.00,3.00,124.00,14.602,-90.461
7,210000,Zona 15,5/13/20,5/14/20,1.00,2.00,2.00,121.00,14.59,-90.491
4,155000,Zona 15,5/4/20,5/4/20,0.00,1.00,2.00,90.00,14.582,-90.482
9,231912,Zona 9,2/3/20,5/4/20,91.00,3.00,2.00,330.00,14.595,-90.521
9,220000,Zona 15,2/3/20,5/4/20,91.00,3.00,2.00,103.00,14.595,-90.495
9,205298,Zona 14,2/3/20,5/4/20,91.00,3.00,2.00,105.00,14.584,-90.516
9,219223,Zona 15,2/3/20,5/4/20,91.00,3.00,2.00,109.00,14.595,-90.495
5,225000,Zona 10,5/4/20,5/4/20,0.00,2.00,2.00,127.00,14.595,-90.504
5,272000,Zona 10,5/4/20,5/4/20,0.00,2.00,2.00,181.90,14.595,-90.504
30,105000,Zona 11,3/20/20,4/15/20,26.00,3.00,2.00,130.00,14.604,-90.559
6,199000,Zona 10,5/30/20,5/30/20,0.00,2.00,2.00,120.00,14.592,-90.508
5,103247,Zona 3 de Mixco,6/1/20,6/1/20,0.00,2.00,1.00,57.00,14.635,-90.581
6,9740,Zona 11,6/1/20,6/1/20,0.00,3.00,1.00,65.00,14.611,-90.563
8,226000,Zona 15,5/13/20,6/3/20,21.00,2.00,3.00,153.00,14.589,-90.488
264,279221,Zona 8 de Mixco,1/23/20,6/3/20,132.00,3.00,3.00,330.00,14.602,-90.591
9,225000,Zona 17,5/3/20,5/30/20,27.00,3.00,3.00,242.00,14.626,-90.454
6,136364,Zona 8 de Mixco,5/2/20,5/2/20,0.00,3.00,2.00,163.00,14.599,-90.592
5,188312,Zona 7 de Mixco,5/2/20,5/2/20,0.00,4.00,3.00,219.00,14.643,-90.599
14,430000,Zona 14,5/2/20,6/1/20,30.00,3.00,3.00,253.00,14.579,-90.518
6,188312,Zona 16,5/2/20,5/2/20,0.00,4.00,4.00,350.00,14.553,-90.459
5,650000,Zona 14,5/2/20,5/2/20,0.00,3.00,3.00,279.00,14.58,-90.513
6,270000,Zona 16,5/2/20,5/2/20,0.00,3.00,2.00,250.00,14.595,-90.461
5,283764,Zona 10,5/19/20,5/19/20,0.00,3.00,2.00,209.00,14.588,-90.502
8,270000,Zona 10,8/5/19,2/17/20,196.00,2.00,3.00,195.00,14.59,-90.51
11,156500,Zona 10,2/6/20,5/7/20,91.00,1.00,2.00,63.00,14.588,-90.502
10,1300000,Zona 10,1/30/20,5/26/20,117.00,3.00,4.00,597.00,14.588,-90.502
5,220000,Zona 15,6/1/20,6/1/20,0.00,3.00,2.00,136.00,14.587,-90.496
8,370000,Zona 10,4/28/20,6/2/20,35.00,3.00,3.00,212.00,14.588,-90.502
282,190000,Zona 16,1/16/20,6/3/20,139.00,4.00,5.00,240.00,14.605,-90.458
15,325000,Zona 16,1/24/20,5/1/20,98.00,4.00,3.00,450.00,14.551,-90.455
31,145000,Zona 16,11/29/19,5/1/20,154.00,4.00,4.00,160.00,14.568,-90.457
15,230000,Zona 16,1/24/20,5/1/20,98.00,3.00,3.00,365.00,14.551,-90.455
14,160000,Zona 16,1/24/20,5/1/20,98.00,4.00,4.00,350.00,14.568,-90.457
14,800000,Zona 16,1/24/20,5/1/20,98.00,4.00,4.00,1567.00,14.551,-90.455
15,500000,Zona 16,1/24/20,5/1/20,98.00,3.00,3.00,838.00,14.551,-90.455
9,97662,Zona 4 de Mixco,5/1/20,5/1/20,0.00,3.00,2.00,80.00,14.655,-90.567
6,137649,Zona 11,4/30/20,5/1/20,1.00,3.00,2.00,95.00,14.604,-90.559
5,35714,Zona 18,3/9/20,3/9/20,0.00,3.00,1.00,51.00,14.659,-90.432
12,590000,Zona 15,11/30/19,3/27/20,118.00,3.00,4.00,252.00,14.593,-90.491
8,220000,Zona 16,4/28/20,5/3/20,5.00,3.00,3.00,242.50,14.608,-90.459
45,199000,Zona 10,11/27/19,4/2/20,127.00,2.00,2.00,120.00,14.592,-90.507
10,198052,Zona 16,3/10/20,5/22/20,73.00,3.00,3.00,220.00,14.608,-90.46
282,147210,Zona 10,1/16/20,6/3/20,139.00,2.00,2.00,105.00,14.592,-90.502
69,250000,Zona 14,4/30/20,6/3/20,34.00,3.00,3.00,139.00,14.586,-90.514
295,137172,Zona 14,1/30/20,6/3/20,125.00,1.00,1.00,188.00,14.586,-90.514
294,357411,Zona 14,1/30/20,6/3/20,125.00,2.00,2.00,225.00,14.586,-90.514
291,198926,Zona 15,1/30/20,6/3/20,125.00,2.00,2.00,131.00,14.597,-90.493
294,201112,Zona 15,1/30/20,6/3/20,125.00,2.00,2.00,131.00,14.597,-90.493
249,105000,Zona 16,1/30/20,6/3/20,125.00,2.00,2.00,123.00,14.594,-90.453
7,298000,Zona 16,4/30/20,5/1/20,1.00,3.00,4.00,280.00,14.551,-90.455
7,85000,Zona 8 de Mixco,4/30/20,5/13/20,13.00,3.00,2.00,120.00,14.596,-90.589
9,201299,Zona 16,5/10/20,5/13/20,3.00,4.00,4.00,230.00,14.607,-90.46
5,121429,Zona 11,5/13/20,5/13/20,0.00,2.00,2.00,99.00,14.604,-90.559
5,116883,Zona 15,4/28/20,4/28/20,0.00,4.00,3.00,247.00,14.575,-90.48
5,335000,Zona 14,4/28/20,4/28/20,0.00,4.00,6.00,320.00,14.557,-90.471
5,272727,Zona 12,4/28/20,4/28/20,0.00,4.00,2.00,540.00,14.571,-90.547
5,98701,Zona 11,4/28/20,4/28/20,0.00,2.00,1.00,66.00,14.597,-90.562
5,70779,Zona 17,4/28/20,4/28/20,0.00,3.00,2.00,79.00,14.644,-90.461
6,475000,Zona 16,4/28/20,4/28/20,0.00,4.00,4.00,430.00,14.607,-90.469
6,432100,Zona 15,5/13/20,5/14/20,1.00,2.00,3.00,163.00,14.589,-90.49
5,475000,Zona 14,3/6/20,3/6/20,0.00,3.00,4.00,322.00,14.59,-90.516
5,111688,Zona 8 de Mixco,4/26/20,4/26/20,0.00,4.00,2.00,283.00,14.589,-90.578
81,77273,Zona 15,4/26/20,6/3/20,38.00,3.00,3.00,111.00,14.573,-90.483
81,215000,Zona 15,4/26/20,6/3/20,38.00,3.00,3.00,220.00,14.59,-90.471
81,79221,Zona 15,4/26/20,6/3/20,38.00,3.00,3.00,120.00,14.573,-90.483
80,110390,Zona 8 de Mixco,4/26/20,6/3/20,38.00,3.00,2.00,110.00,14.602,-90.591
4,49351,Zona 8 de Mixco,4/25/20,4/25/20,0.00,2.00,1.00,120.00,14.596,-90.589
5,219000,Zona 14,3/4/20,3/4/20,0.00,2.00,3.00,79.20,14.584,-90.516
5,201299,Zona 16,2/18/20,2/18/20,0.00,4.00,5.00,230.00,14.604,-90.452
22,214286,Zona 16,3/6/20,5/22/20,77.00,4.00,4.00,255.00,14.6,-90.462
9,430000,Zona 14,4/23/20,5/23/20,30.00,3.00,2.00,253.00,14.58,-90.513
5,149351,Zona 2 de Mixco,2/25/20,2/25/20,0.00,3.00,2.00,250.00,14.628,-90.585
5,395000,Zona 16,4/24/20,4/24/20,0.00,3.00,3.00,372.00,14.606,-90.472
5,320000,Zona 16,4/24/20,4/24/20,0.00,4.00,3.00,300.00,14.606,-90.472
7,270000,Zona 7 de Mixco,4/24/20,4/24/20,0.00,3.00,2.00,182.00,14.644,-90.598
5,389610,Zona 9,4/24/20,4/24/20,0.00,10.00,3.00,626.00,14.607,-90.52
7,270000,Zona 7 de Mixco,4/24/20,4/24/20,0.00,3.00,2.00,139.00,14.644,-90.598
4,235000,Zona 14,4/24/20,4/24/20,0.00,4.00,5.00,270.00,14.548,-90.467
5,175325,Zona 11,4/24/20,4/24/20,0.00,6.00,4.00,490.00,14.595,-90.555
5,200000,Zona 16,4/24/20,4/24/20,0.00,3.00,2.00,95.00,14.61,-90.485
7,170000,Zona 2 de Mixco,4/29/20,6/1/20,33.00,3.00,2.00,144.00,14.628,-90.585
5,475000,Zona 16,1/27/20,1/27/20,0.00,4.00,5.00,470.00,14.596,-90.46
7,400000,Zona 14,3/2/20,4/1/20,30.00,4.00,4.00,385.00,14.584,-90.519
10,280000,Zona 14,2/4/20,5/5/20,91.00,4.00,3.00,161.00,14.582,-90.504
11,250000,Zona 14,12/24/19,4/19/20,117.00,2.00,3.00,190.00,14.584,-90.516
5,121429,Zona 11,4/22/20,4/22/20,0.00,3.00,2.00,79.00,14.604,-90.556
7,235000,Zona 14,4/22/20,5/19/20,27.00,3.00,3.00,300.00,14.564,-90.479
5,144500,Zona 16,4/22/20,4/22/20,0.00,3.00,2.00,118.00,14.607,-90.469
5,259740,Zona 16,4/22/20,4/22/20,0.00,2.00,2.00,230.00,14.607,-90.469
4,59740,Zona 16,4/22/20,4/22/20,0.00,2.00,2.00,90.00,14.542,-90.427
5,550000,Zona 16,4/22/20,4/22/20,0.00,4.00,4.00,450.00,14.564,-90.456
27,575000,Zona 14,2/12/20,5/19/20,97.00,3.00,4.00,395.00,14.584,-90.516
15,340000,Zona 14,2/4/20,5/5/20,91.00,4.00,4.00,285.00,14.58,-90.504
7,335000,Zona 14,3/6/20,3/9/20,3.00,3.00,2.00,201.60,14.58,-90.513
5,250000,Zona 14,4/8/20,4/8/20,0.00,2.00,2.00,182.00,14.584,-90.516
6,25974,Zona 11 de Mixco,4/21/20,4/21/20,0.00,2.00,1.00,50.00,14.705,-90.549
18,100649,Zona 3 de Mixco,3/20/20,5/18/20,59.00,3.00,1.00,110.00,14.639,-90.564
5,285000,Zona 13,4/20/20,4/20/20,0.00,2.00,2.00,185.00,14.573,-90.523
5,252000,Zona 16,4/20/20,4/20/20,0.00,3.00,2.00,236.00,14.607,-90.469
5,150000,Zona 15,4/20/20,4/20/20,0.00,3.00,2.00,200.00,14.575,-90.48
5,97727,Zona 13,4/20/20,4/20/20,0.00,2.00,2.00,55.00,14.58,-90.53
9,670000,Zona 16,3/26/20,4/20/20,25.00,4.00,5.00,475.00,14.607,-90.469
19,440000,Zona 11,2/29/20,5/30/20,91.00,10.00,0.00, 385],14.596,-90.547
5,150649,Zona 11,5/29/20,5/29/20,0.00,2.00,2.00,114.00,14.6,-90.56
5,89805,Zona 11,5/28/20,5/28/20,0.00,1.00,1.00,49.00,14.604,-90.559
6,18182,Zona 11,5/28/20,5/28/20,0.00,3.00,2.00,75.00,14.6,-90.56
5,89805,Zona 11,5/25/20,5/25/20,0.00,1.00,1.00,49.00,14.604,-90.548
5,89805,Zona 11,5/25/20,5/25/20,0.00,1.00,1.00,49.00,14.605,-90.553
4,125974,Zona 11,5/24/20,5/24/20,0.00,3.00,2.00,79.00,14.604,-90.556
9,224026,Zona 1,9/10/19,5/22/20,255.00,4.00,5.00,385.00,14.636,-90.51
9,715974,Zona 1,9/10/19,5/22/20,255.00,10.00,3.00,778.00,14.636,-90.51
6,100000,Zona 7,5/22/20,5/22/20,0.00,2.00,2.00,78.00,14.639,-90.56
7,118823,Zona 2,5/22/20,5/23/20,1.00,2.00,1.00,85.00,14.655,-90.5
9,1500000,Zona 9,9/11/19,5/21/20,253.00,4.00,4.00,600.00,14.595,-90.521
9,116300,Zona 11,9/9/19,5/21/20,255.00,2.00,2.00,67.00,14.6,-90.56
13,227273,Zona 7,10/15/19,5/29/20,227.00,10.00,5.00,280.00,14.624,-90.545
5,162338,Zona 3 de Mixco,5/19/20,5/19/20,0.00,3.00,2.00,230.00,14.63,-90.565
9,200000,Zona 11,5/15/20,5/15/20,0.00,3.00,3.00,195.00,14.6,-90.56
5,79870,,5/14/20,5/14/20,0.00,3.00,2.00,118.00,14.634,-90.506
5,350000,,5/14/20,5/14/20,0.00,2.00,2.00,150.00,14.634,-90.506
5,175000,,5/14/20,5/14/20,0.00,3.00,2.00,150.00,14.634,-90.506
13,245000,Zona 1,10/29/19,5/14/20,198.00,3.00,3.00,122.00,14.635,-90.507
15,129870,Zona 1,1/19/20,5/21/20,123.00,4.00,2.00,247.00,14.643,-90.499
5,260000,,5/14/20,5/14/20,0.00,2.00,2.00,220.00,14.634,-90.506
15,243506,Zona 1,2/12/20,5/29/20,107.00,7.00,3.00,180.00,14.639,-90.51
5,38312,,5/14/20,5/14/20,0.00,3.00,1.00,48.00,14.634,-90.506
6,32468,,5/14/20,5/14/20,0.00,2.00,1.00,57.55,14.634,-90.506
9,360000,Zona 11,2/12/20,5/14/20,92.00,4.00,3.00,226.00,14.6,-90.56
45,84416,Zona 11 de Mixco,5/14/20,6/3/20,20.00,3.00,2.00,126.00,14.677,-90.538
23,96000,Zona 5,1/14/20,5/15/20,122.00,2.00,1.00,45.00,14.628,-90.495
5,289000,,5/13/20,5/13/20,0.00,3.00,3.00,176.00,14.634,-90.506
13,454545,Zona 1,10/4/19,5/13/20,222.00,5.00,4.00,1235.00,14.635,-90.507
5,188312,Zona 5,5/10/20,5/10/20,0.00,4.00,3.00,347.00,14.622,-90.488
55,237000,Zona 10,5/9/20,6/3/20,25.00,2.00,2.00,138.00,14.599,-90.512
4,195000,Zona 11,5/8/20,5/8/20,0.00,4.00,4.00,200.00,14.602,-90.559
18,1000000,,10/18/19,5/19/20,214.00,5.00,5.00,360.00,14.634,-90.506
32,493506,Zona 5,2/17/20,5/19/20,92.00,10.00,6.00,300.00,14.624,-90.499
20,7206,Zona 7,5/8/20,5/9/20,1.00,3.00,2.00,71.84,14.635,-90.541
5,114935,Zona 11,5/8/20,5/8/20,0.00,3.00,2.00,75.00,14.6,-90.56
5,116000,Zona 11,5/8/20,5/8/20,0.00,2.00,2.00,65.00,14.6,-90.56
8,32468,Zona 1,5/8/20,5/8/20,0.00,3.00,1.00,144.00,14.639,-90.51
5,265584,Zona 11,5/8/20,5/8/20,0.00,3.00,2.00,210.86,14.6,-90.56
7,181818,Zona 2,12/2/19,5/7/20,157.00,3.00,3.00,174.00,14.666,-90.508
6,258442,Zona 9,5/7/20,5/7/20,0.00,4.00,5.00,270.00,14.595,-90.521
5,124260,Zona 11,5/5/20,5/5/20,0.00,3.00,2.00,100.00,14.601,-90.557
35,321429,Zona 9,1/16/20,5/30/20,135.00,9.00,3.00,626.00,14.607,-90.52
22,130000,,11/13/19,5/19/20,188.00,3.00,4.00,178.00,14.634,-90.506
36,376623,Zona 1,1/22/20,5/27/20,126.00,10.00,10.00,500.00,14.636,-90.51
14,179000,,1/13/20,5/5/20,113.00,3.00,3.00,180.00,14.634,-90.506
5,218182,Zona 7,5/5/20,5/5/20,0.00,2.00,2.00,116.00,14.635,-90.541
9,64477,Zona 1,11/8/19,5/5/20,179.00,2.00,2.00,70.00,14.639,-90.51
5,185000,Zona 1,5/5/20,5/5/20,0.00,5.00,3.00,200.00,14.639,-90.51
7,230000,Zona 3,5/5/20,5/5/20,0.00,2.00,3.00,194.00,14.636,-90.527
7,129870,Zona 1,5/5/20,5/7/20,2.00,4.00,2.00,248.00,14.643,-90.499
5,270000,,5/5/20,5/5/20,0.00,5.00,3.00,452.00,14.634,-90.506
5,120000,Zona 11,5/5/20,5/5/20,0.00,3.00,2.00,77.00,14.604,-90.559
5,122000,Zona 11,5/5/20,5/5/20,0.00,2.00,2.00,61.00,14.604,-90.559
9,181773,Zona 7,9/26/19,5/4/20,221.00,3.00,2.00,76.00,14.645,-90.539
9,350000,Zona 11,10/26/19,5/4/20,191.00,4.00,3.00,345.00,14.6,-90.56
7,420000,Zona 10,5/4/20,5/4/20,0.00,3.00,2.00,211.00,14.595,-90.504
9,127856,Zona 9,10/29/19,5/4/20,188.00,2.00,2.00,74.00,14.595,-90.521
9,290000,Zona 9,10/30/19,5/4/20,187.00,3.00,2.00,400.00,14.595,-90.521
9,140000,Zona 9,1/25/20,5/4/20,100.00,2.00,1.00,25.00,14.607,-90.52
9,136364,Zona 11,1/30/20,5/4/20,95.00,3.00,2.00,129.00,14.6,-90.56
6,360000,Zona 3,5/4/20,5/5/20,1.00,3.00,3.00,250.00,14.636,-90.527
5,210000,Zona 10,5/4/20,5/4/20,0.00,3.00,2.00,120.00,14.595,-90.504
5,88636,Zona 1,5/4/20,5/4/20,0.00,2.00,2.00,65.00,14.639,-90.51
11,255000,Zona 10,5/4/20,5/9/20,5.00,3.00,2.00,116.00,14.595,-90.504
11,155844,Zona 7,1/10/20,5/21/20,132.00,4.00,3.00,250.00,14.635,-90.541
15,88312,Zona 4 de Mixco,1/11/20,5/3/20,113.00,3.00,2.00,76.00,14.657,-90.556
275,116753,Zona 4 de Mixco,1/16/20,6/3/20,139.00,3.00,2.00,85.00,14.665,-90.557
9,410000,Zona 2,5/3/20,5/30/20,27.00,4.00,4.00,380.00,14.659,-90.504
5,98701,Zona 11,4/30/20,4/30/20,0.00,2.00,2.00,58.00,14.6,-90.56
9,103896,Zona 9,4/30/20,5/6/20,6.00,4.00,2.00,160.00,14.602,-90.531
254,107555,Zona 10,1/30/20,6/3/20,125.00,1.00,1.00,51.00,14.602,-90.507
5,110000,Zona 11,4/29/20,4/29/20,0.00,2.00,2.00,62.00,14.6,-90.56
6,625000,Zona 10,4/29/20,4/29/20,0.00,3.00,4.00,538.00,14.597,-90.505
