revision,price_usd,zona,created_at_first,created_at,days_old,number_of_bedrooms,number_of_bathrooms,m2,latitude,longitude
215,141224,Zona 10,2/19/20,6/3/20,105.00,2.00,3.00,108.00,14.594,-90.503
210,172274,Zona 15,2/19/20,6/3/20,105.00,2.00,3.00,123.00,14.598,-90.493
20,298701,Zona 1,2/12/20,5/23/20,101.00,5.00,2.00,335.00,14.639,-90.51
9,87662,Zona 1,10/26/19,5/19/20,206.00,3.00,2.00,70.00,14.64,-90.501
4,350000,Zona 15,5/19/20,5/19/20,0.00,4.00,4.00,289.00,14.599,-90.493
28,510000,Zona 1,2/2/20,5/30/20,118.00,0.00,8.00,1000.00,14.644,-90.515
13,1200000,Zona 15,9/9/19,5/19/20,253.00,5.00,5.00,1550.00,14.609,-90.499
5,120000,,5/19/20,5/19/20,0.00,2.00,1.00,120.00,14.634,-90.506
11,12987,,5/19/20,5/19/20,0.00,3.00,3.00,100.00,14.634,-90.506
5,179000,,5/19/20,5/19/20,0.00,2.00,2.00,78.00,14.634,-90.506
214,97403,Zona 4 de Mixco,2/18/20,6/3/20,106.00,3.00,2.00,84.00,14.659,-90.549
216,252093,Zona 15,2/18/20,6/3/20,106.00,3.00,3.00,189.00,14.595,-90.489
211,64935,Zona 3,2/18/20,6/3/20,106.00,3.00,2.00,120.00,14.633,-90.524
5,220000,,5/18/20,5/18/20,0.00,3.00,3.00,220.00,14.634,-90.506
5,194805,,5/18/20,5/18/20,0.00,3.00,2.00,175.00,14.634,-90.506
9,414544,Zona 15,9/13/19,5/15/20,245.00,3.00,2.00,208.00,14.595,-90.495
9,979700,Zona 15,9/16/19,5/15/20,242.00,4.00,4.00,588.00,14.595,-90.495
13,975000,,1/23/20,5/15/20,113.00,4.00,4.00,457.04,14.634,-90.506
5,890000,,5/15/20,5/15/20,0.00,4.00,3.00,590.00,14.634,-90.506
9,230000,Zona 9,9/16/19,5/15/20,242.00,4.00,2.00,300.00,14.595,-90.521
5,210000,,5/15/20,5/15/20,0.00,3.00,2.00,233.00,14.634,-90.506
5,340000,,5/15/20,5/15/20,0.00,4.00,3.00,349.00,14.634,-90.506
5,225000,Zona 15,5/15/20,5/15/20,0.00,3.00,2.00,194.00,14.599,-90.493
5,215000,,5/15/20,5/15/20,0.00,3.00,2.00,300.00,14.634,-90.506
10,365000,,1/21/20,5/15/20,115.00,3.00,2.00,240.00,14.634,-90.506
10,250000,,2/5/20,5/15/20,100.00,3.00,2.00,306.00,14.634,-90.506
5,420000,,5/15/20,5/15/20,0.00,4.00,3.00,260.00,14.634,-90.506
5,355000,,5/15/20,5/15/20,0.00,3.00,2.00,302.00,14.634,-90.506
7,105000,Zona 16,5/15/20,6/1/20,17.00,3.00,1.00,73.00,14.61,-90.483
5,336000,Zona 15,5/15/20,5/15/20,0.00,4.00,2.00,176.00,14.599,-90.493
4,110390,Zona 5,5/15/20,5/15/20,0.00,3.00,2.00,200.00,14.639,-90.49
4,181818,Zona 16,5/15/20,5/15/20,0.00,3.00,3.00,105.00,14.611,-90.477
7,495000,Zona 15,5/15/20,5/16/20,1.00,3.00,6.00,416.00,14.598,-90.493
7,420000,Zona 10,5/15/20,5/16/20,1.00,2.00,3.00,239.00,14.598,-90.507
8,17532,Zona 11 de Mixco,5/14/20,5/14/20,0.00,2.00,1.00,34.00,14.679,-90.538
9,129221,Zona 7,9/27/19,5/14/20,230.00,3.00,3.00,100.00,14.645,-90.539
9,335000,Zona 9,10/2/19,5/14/20,225.00,3.00,2.00,340.00,14.595,-90.521
9,860000,Zona 15,10/2/19,5/14/20,225.00,5.00,3.00,250.00,14.595,-90.495
9,194805,Zona 2,11/14/19,5/14/20,182.00,4.00,4.00,480.00,14.659,-90.51
9,389610,Zona 9,9/27/19,5/14/20,230.00,1.00,2.00,527.00,14.607,-90.521
9,185000,Zona 2,11/4/19,5/14/20,192.00,4.00,1.00,250.00,14.659,-90.51
9,90909,Zona 7,11/5/19,5/14/20,191.00,3.00,2.00,25.00,14.645,-90.539
9,239913,Zona 15,11/8/19,5/14/20,188.00,2.00,1.00,105.00,14.595,-90.495
9,110000,Zona 9,11/12/19,5/14/20,184.00,1.00,1.00,65.00,14.595,-90.521
9,285000,Zona 9,11/14/19,5/14/20,182.00,3.00,2.00,2150.00,14.595,-90.521
9,350000,Zona 9,11/14/19,5/14/20,182.00,4.00,4.00,25.00,14.595,-90.521
9,285000,Zona 9,2/7/20,5/14/20,97.00,4.00,2.00,301.00,14.595,-90.521
9,200000,Zona 9,2/9/20,5/14/20,95.00,6.00,6.00,350.00,14.595,-90.521
9,119000,Zona 9,2/7/20,5/14/20,97.00,4.00,3.00,244.00,14.595,-90.521
5,68182,Zona 7,5/14/20,5/14/20,0.00,4.00,1.00,247.00,14.635,-90.541
9,215000,Zona 4,2/9/20,5/14/20,95.00,2.00,3.00,25.00,14.619,-90.517
5,64901,Zona 5,5/14/20,5/14/20,0.00,1.00,1.00,37.00,14.623,-90.495
9,178000,Zona 15,5/14/20,5/15/20,1.00,1.00,1.00,116.00,14.599,-90.493
9,249000,Zona 15,5/14/20,5/15/20,1.00,2.00,2.00,153.00,14.599,-90.493
11,600000,Zona 1,5/14/20,5/30/20,16.00,10.00,10.00,1421.00,14.636,-90.51
